"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"280","KPNYN","autonomic_ganglia",8.745,1,0
"281","KU1919","urinary_tract",11.706,0,0
"282","KURAMOCHI","ovary",13.278,0,1
"283","KYM1","soft_tissue",6.2942,1,0
"284","KYSE140","oesophagus",12.365,0,0
"285","KYSE150","oesophagus",13.945,0,1
"286","KYSE180","oesophagus",11.093,0,0
"287","KYSE30","oesophagus",13.415,0,1
"288","KYSE410","oesophagus",13.793,0,1
"289","KYSE450","oesophagus",13.589,0,1
"290","KYSE510","oesophagus",8.8833,1,0
"291","KYSE520","oesophagus",13.429,0,1
"292","KYSE70","oesophagus",14.338,0,1
"293","L33","pancreas",14.668,0,1
"294","LC1SQSF","lung",12.057,0,0
"295","LCLC103H","lung",12.743,0,1
"296","LCLC97TM1","lung",13.245,0,1
"297","LI7","liver",10.423,1,0
"298","LK2","lung",11.059,0,0
"299","LMSU","stomach",12.728,0,1
"300","LN18","central_nervous_system",10.52,1,0
"301","LN229","central_nervous_system",11.138,0,0
"302","LNCAPCLONEFGC","prostate",8.9868,1,0
"303","LOUNH91","lung",11.383,0,0
"304","LOVO","large_intestine",14.359,0,1
"305","LOXIMVI","skin",12.886,0,1
"306","LOXIMVI","skin",10.481,1,0
"307","LS1034","large_intestine",12.036,0,0
"308","LS123","large_intestine",14.829,0,1
"309","LS180","large_intestine",9.4193,1,0
"310","LS411N","large_intestine",13.207,0,1
"311","LS513","large_intestine",8.414,1,0
"312","LU65","lung",10.848,0,0
"313","LU99","lung",7.188,1,0
"314","LUDLU1","lung",8.626,1,0
"315","LXF289","lung",13.628,0,1
"316","M059K","central_nervous_system",13.455,0,1
"317","MALME3M","skin",10.803,0,0
"318","MCAS","ovary",13.044,0,1
"319","MCF7","breast",12.302,0,0
"320","MDAMB157","breast",10.933,0,0
"321","MDAMB231","breast",14.341,0,1
"322","MDAMB361","breast",12.852,0,1
"323","MDAMB415","breast",14.592,0,1
"324","MDAMB435S","skin",14.774,0,1
"325","MDAMB453","breast",14.895,0,1
"326","MDAMB468","breast",9.4035,1,0
"327","MDST8","large_intestine",15.646,0,1
"328","MELHO","skin",9.1308,1,0
"329","MELJUSO","skin",11.504,0,0
"330","MESSA","soft_tissue",10.528,1,0
"331","MEWO","skin",12.256,0,0
"332","MFE296","endometrium",11.421,0,0
"333","MFE319","endometrium",12.528,0,1
"334","MG63","bone",13.491,0,1
"335","MHHES1","bone",6.4457,1,0
"336","MHHNB11","autonomic_ganglia",6.0172,1,0
"337","MIAPACA2","pancreas",11.124,0,0
"338","MKN1","stomach",12.421,0,1
"339","MKN45","stomach",12.246,0,0
"340","MKN7","stomach",14.469,0,1
"341","MKN74","stomach",13.181,0,1
"342","ML1","thyroid",8.3454,1,0
"343","MORCPR","lung",10.354,1,0
"344","MPP89","pleura",10.807,0,0
"345","MSTO211H","pleura",9.4447,1,0
"346","NB1","autonomic_ganglia",8.8231,1,0
"347","NH6","autonomic_ganglia",7.684,1,0
"348","NMCG1","central_nervous_system",12.561,0,1
"349","NUGC3","stomach",11.525,0,0
"350","NUGC4","stomach",9.3814,1,0
"351","OAW28","ovary",14.851,0,1
"352","OAW28","ovary",12.961,0,1
"353","OAW42","ovary",8.8826,1,0
"354","OC314","ovary",8.8525,1,0
"355","OCUM1","stomach",11.202,0,0
"356","OE19","oesophagus",13.096,0,1
"357","OE33","oesophagus",10.419,1,0
"358","ONCODG1","ovary",9.8948,1,0
"359","ONS76","central_nervous_system",11.44,0,0
"360","OSRC2","kidney",12.128,0,0
"361","OUMS23","large_intestine",13.258,0,1
"362","OV56","ovary",10.741,0,0
"363","OV7","ovary",9.5628,1,0
"364","OV90","ovary",11.831,0,0
"365","OVCAR4","ovary",13.057,0,1
"366","OVCAR8","ovary",13.209,0,1
"367","OVISE","ovary",13.24,0,1
"368","OVK18","ovary",13.256,0,1
"369","OVSAHO","ovary",12.277,0,0
"370","OVTOKO","ovary",10.261,1,0
"371","PANC0203","pancreas",12.944,0,1
"372","PANC0327","pancreas",10.155,1,0
"373","PANC0403","pancreas",12.676,0,1
"374","PANC0504","pancreas",13.87,0,1
"375","PANC0813","pancreas",11.482,0,0
"376","PANC1","pancreas",10.946,0,0
"377","PANC1005","pancreas",14.063,0,1
"378","PATU8902","pancreas",15.398,0,1
"379","PATU8988S","pancreas",12.198,0,0
"380","PATU8988T","pancreas",13.807,0,1
"381","PC14","lung",11.043,0,0
"382","PC3","prostate",13.452,0,1
"383","PECAPJ15","upper_aerodigestive_tract",9.0462,1,0
"384","PECAPJ34CLONEC12","upper_aerodigestive_tract",9.3016,1,0
"385","PECAPJ41CLONED2","upper_aerodigestive_tract",10.73,0,0
"386","PECAPJ49","upper_aerodigestive_tract",9.6327,1,0
"387","PK1","pancreas",12.797,0,1
"388","PK45H","pancreas",13.506,0,1
"389","PK59","pancreas",15,0,1
"390","PLCPRF5","liver",12.119,0,0
"391","PSN1","pancreas",11.232,0,0
"392","QGP1","pancreas",10.983,0,0
"393","RCC10RGB","kidney",15.081,0,1
"394","RCM1","large_intestine",11.851,0,0
"395","RD","soft_tissue",10.821,0,0
"396","RERFLCAD1","lung",13.31,0,1
"397","RERFLCAD2","lung",13.58,0,1
"398","RERFLCAI","lung",10.414,1,0
"399","RERFLCMS","lung",10.564,1,0
"400","RH18","soft_tissue",13.674,0,1
"401","RH30","soft_tissue",11.567,0,0
"402","RH41","soft_tissue",9.1445,1,0
"403","RKN","soft_tissue",15.569,0,1
"404","RKO","large_intestine",12.671,0,1
"405","RL952","endometrium",10.19,1,0
"406","RMGI","ovary",14.301,0,1
"407","RPMI7951","skin",7.5012,1,0
"408","RT112","urinary_tract",13.382,0,1
"409","RT4","urinary_tract",15.569,0,1
"410","RVH421","skin",12.136,0,0
"411","SAOS2","bone",14.681,0,1
"412","SBC5","lung",7.3739,1,0
"413","SCABER","urinary_tract",12.026,0,0
"414","SCC25","upper_aerodigestive_tract",11.989,0,0
"415","SCC9","upper_aerodigestive_tract",11.821,0,0
"416","SF126","central_nervous_system",12.788,0,1
"417","SF295","central_nervous_system",11.38,0,0
"418","SH10TC","stomach",14.396,0,1
"419","SH4","skin",9.9858,1,0
"420","SHP77","lung",11.119,0,0
"421","SIMA","autonomic_ganglia",7.082,1,0
"422","SJSA1","bone",11.065,0,0
"423","SKBR3","breast",9.8917,1,0
"424","SKCO1","large_intestine",6.5566,1,0
"425","SKHEP1","liver",14.071,0,1
"426","SKLMS1","soft_tissue",13.284,0,1
"427","SKLU1","lung",12.554,0,1
"428","SKMEL1","skin",10.323,1,0
"429","SKMEL24","skin",10.399,1,0
"430","SKMEL28","skin",15.007,0,1
"431","SKMEL3","skin",11.993,0,0
"432","SKMEL30","skin",14.803,0,1
"433","SKMEL31","skin",15.017,0,1
"434","SKMEL5","skin",14.089,0,1
"435","SKMES1","lung",7.9531,1,0
"436","SKNAS","autonomic_ganglia",9.5665,1,0
"437","SKNBE2","autonomic_ganglia",11.278,0,0
"438","SKNDZ","autonomic_ganglia",9.6748,1,0
"439","SKNMC","bone",6.2936,1,0
"440","SKNSH","autonomic_ganglia",8.7763,1,0
"441","SKOV3","ovary",13.886,0,1
"442","SKUT1","soft_tissue",11.867,0,0
