"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"78",724870,"MIA-PaCa-2","pancreas","pancreas",5.93837192,0,0
"79",724872,"SHP-77","lung_SCLC","lung_small_cell_carcinoma",5.7124841,0,0
"80",724873,"NCI-H2009","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.8809274,0,0
"81",724874,"NCI-H2291","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.12193478,0,1
"82",724878,"SW1573","lung_NSCLC","lung_NSCLC_adenocarcinoma",6.41739598,0,1
"83",724879,"SW900","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",5.65904632,0,0
"84",735784,"TE-5","aero_dig_tract","oesophagus",6.17407171,0,1
"85",749709,"HCC1954","breast","breast",6.22700486,0,1
"86",749710,"HCC1143","breast","breast",6.69567054,0,1
"87",749711,"HCC1187","breast","breast",4.60574901,1,0
"88",749712,"HCC1395","breast","breast",6.10909233,0,1
"89",749714,"HCC1937","breast","breast",6.28817661,0,1
"90",749715,"HCC2157","breast","breast",4.93119485,1,0
"91",749716,"HCC2218","breast","breast",6.54919994,0,1
"92",749717,"HCC38","breast","breast",6.14590108,0,1
"93",753531,"BB30-HNC","aero_dig_tract","head and neck",5.06155885,1,0
"94",753532,"BB49-HNC","aero_dig_tract","head and neck",6.19107315,0,1
"95",753533,"BB65-RCC","kidney","kidney",6.11053951,0,1
"96",753534,"BEN","lung_NSCLC","lung_NSCLC_not specified",6.38961596,0,1
"97",753535,"BHY","aero_dig_tract","head and neck",5.86666506,0,0
"98",753538,"Ca9-22","aero_dig_tract","head and neck",5.61410847,0,0
"99",753539,"CADO-ES1","bone","ewings_sarcoma",5.91167376,0,0
"100",753540,"CAL-12T","lung_NSCLC","lung_NSCLC_not specified",5.70523984,0,0
"101",753541,"CAL-33","aero_dig_tract","head and neck",4.30926271,1,0
"102",753545,"CP50-MEL-B","skin","melanoma",5.8940426,0,0
"103",753546,"CP66-MEL","skin","melanoma",6.26992942,0,1
"104",753547,"CPC-N","lung_SCLC","lung_small_cell_carcinoma",5.65988518,0,0
"105",753549,"D-542MG","nervous_system","glioma",6.48856591,0,1
"106",753551,"DMS-79","lung_SCLC","lung_small_cell_carcinoma",6.41402623,0,1
"107",753552,"DSH1","urogenital_system","Bladder",5.84680366,0,0
"108",753554,"EBC-1","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",5.01710987,1,0
"109",753555,"EC-GI-10","aero_dig_tract","oesophagus",4.20705075,1,0
"110",753556,"EPLC-272H","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",5.73816356,0,0
"111",753558,"HA7-RCC","kidney","kidney",6.04292122,0,1
"112",753561,"HO-1-u-1","aero_dig_tract","head and neck",5.23180972,1,0
"113",753562,"HSC-2","aero_dig_tract","head and neck",5.13469591,1,0
"114",753564,"IST-SL1","lung_SCLC","lung_small_cell_carcinoma",5.10693509,1,0
"115",753565,"IST-SL2","lung_SCLC","lung_small_cell_carcinoma",5.41481395,1,0
"116",753566,"J82","urogenital_system","Bladder",5.91778642,0,0
"117",753569,"KNS-62","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",4.64667312,1,0
"118",753570,"KOSC-2","aero_dig_tract","head and neck",4.78389059,1,0
"119",753572,"KP-4","pancreas","pancreas",5.65893158,0,0
"120",753575,"KYSE-520","aero_dig_tract","oesophagus",6.29977094,0,1
"121",753576,"KYSE-70","aero_dig_tract","oesophagus",5.46014314,1,0
"122",753577,"LB1047-RCC","kidney","kidney",6.03736101,0,1
"123",753578,"LB2241-RCC","kidney","kidney",6.08304632,0,1
"124",753579,"LB2518-MEL","skin","melanoma",6.10152456,0,1
"125",753581,"LB373-MEL-D","skin","melanoma",6.05060664,0,1
"126",753582,"LB647-SCLC","lung_SCLC","lung_small_cell_carcinoma",6.06204426,0,1
"127",753583,"LB771-HNC","aero_dig_tract","head and neck",6.41331834,0,1
"128",753584,"LB831-BLC","urogenital_system","Bladder",5.95170034,0,0
"129",753585,"LB996-RCC","kidney","kidney",5.28156561,1,0
