"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"200",906824,"Ca-Ski","urogenital_system","cervix",1.15612996,1,0
"201",906826,"CAL-120","breast","breast",3.88058588,0,0
"202",906827,"CAL-72","bone","osteosarcoma",3.06460757,0,0
"203",906828,"CAL-62","thyroid","thyroid",2.75929732,0,0
"204",906830,"C32","skin","melanoma",1.80006372,1,0
"205",906833,"Daoy","nervous_system","medulloblastoma",0.55977659,1,0
"206",906834,"D-283MED","nervous_system","medulloblastoma",1.55817801,1,0
"207",906835,"DBTRG-05MG","nervous_system","glioma",2.88449877,0,0
"208",906837,"Detroit562","aero_dig_tract","head and neck",3.11997781,0,0
"209",906839,"DK-MG","nervous_system","glioma",3.90582303,0,0
"210",906841,"DJM-1","skin","skin_other",3.45389725,0,0
"211",906843,"DoTc2-4510","urogenital_system","cervix",2.22962173,0,0
"212",906844,"DU-4475","breast","breast",2.51685625,0,0
"213",906848,"ECC10","digestive_system","stomach",3.21272993,0,0
"214",906851,"EFM-19","breast","breast",4.83662136,0,1
"215",906852,"EFO-27","urogenital_system","ovary",2.90113027,0,0
"216",906853,"EGI-1","digestive_system","biliary_tract",2.32477683,0,0
"217",906861,"ETK-1","digestive_system","biliary_tract",3.52131063,0,0
"218",906862,"EVSA-T","breast","breast",2.30002564,0,0
"219",906863,"FADU","aero_dig_tract","head and neck",2.42582287,0,0
"220",906864,"FTC-133","thyroid","thyroid",1.74274528,1,0
"221",906865,"G-361","skin","melanoma",2.42326822,0,0
"222",906869,"GCIY","digestive_system","stomach",3.19052443,0,0
"223",906871,"GI-1","nervous_system","glioma",0.65518703,1,0
"224",906872,"GI-ME-N","neuroblastoma","neuroblastoma",2.76194856,0,0
"225",906873,"GMS-10","nervous_system","glioma",2.57923185,0,0
"226",906875,"GOTO","neuroblastoma","neuroblastoma",0.73765754,1,0
"227",907000,"ESS-1","urogenital_system","endometrium",1.03977579,1,0
"228",907041,"GT3TKB","digestive_system","stomach",1.80416104,1,0
"229",907042,"H4","nervous_system","glioma",1.55036587,1,0
"230",907045,"HCC1419","breast","breast",2.08166666,0,0
"231",907046,"HCC1569","breast","breast",4.96389872,0,1
"232",907048,"HCC70","breast","breast",2.28888367,0,0
"233",907051,"HEC-1","urogenital_system","endometrium",2.56221657,0,0
"234",907055,"HGC-27","digestive_system","stomach",1.90375338,1,0
"235",907058,"HMV-II","skin","melanoma",3.45188666,0,0
"236",907059,"HN","aero_dig_tract","head and neck",1.97854178,0,0
"237",907060,"HOS","bone","osteosarcoma",1.02456869,1,0
"238",907062,"HSC-4","aero_dig_tract","head and neck",0.5753385,1,0
"239",907064,"HT-1080","soft_tissue","fibrosarcoma",2.06540948,0,0
"240",907065,"HT-1197","urogenital_system","Bladder",3.51625744,0,0
"241",907066,"HT-1376","urogenital_system","Bladder",3.33405997,0,0
"242",907068,"HT-3","urogenital_system","cervix",1.5982125,1,0
"243",907069,"HuCCT1","digestive_system","biliary_tract",3.60239453,0,0
"244",907071,"HuH-7","digestive_system","liver",2.71100642,0,0
"245",907072,"HuO9","bone","osteosarcoma",2.26714397,0,0
"246",907073,"HUTU-80","digestive_system","digestive_system_other",2.39639208,0,0
"247",907169,"IGR-1","skin","melanoma",3.1461283,0,0
"248",907170,"IMR-5","neuroblastoma","neuroblastoma",1.70528295,1,0
"249",907171,"IPC-298","skin","melanoma",2.9534907,0,0
"250",907172,"IST-MEL1","skin","melanoma",2.78969802,0,0
"251",907176,"JEG-3","urogenital_system","urogenital_system_other",1.92271966,1,0
"252",907276,"KATOIII","digestive_system","stomach",3.36211877,0,0
"253",907279,"KINGS-1","nervous_system","glioma",3.23710216,0,0
"254",907282,"KNS-42","nervous_system","glioma",3.14227236,0,0
"255",907285,"HuP-T3","pancreas","pancreas",3.01674026,0,0
